data,Particulas Inalaveis
2018-07-11,54.32250000000001
2018-07-12,34.228750000000005
2018-07-13,33.71375
2018-07-14,36.95166666666667
2018-07-15,34.42583333333334
2018-07-16,31.517083333333332
2018-07-17,37.75208333333333
2018-07-18,31.882083333333327
2018-07-19,29.80916666666666
2018-07-20,33.51208333333334
2018-07-21,34.150416666666665
2018-07-22,37.56083333333333
2018-07-23,35.40583333333333
2018-07-24,42.24125000000001
2018-07-25,35.50125
2018-07-26,36.51208333333333
2018-07-27,32.77125
2018-07-28,32.58125
2018-07-29,34.96
2018-07-30,41.46083333333334
2018-07-31,58.44083333333334
2018-08-01,49.44291666666666
2018-08-02,26.10958333333333
2018-08-03,21.41294717227152
2018-08-04,26.599166666666665
2018-08-05,53.75166666666666
2018-08-06,37.37333333333333
2018-08-07,25.966250000000002
